Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,2MCW,144.100000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,National CW Calling Frequency,,,,
1,2MSSB,144.200000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,National SSB Calling Frequency,,,,
2,APRS,144.390000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,APRS,,,,
3,WD9HMH,145.190000,-,0.600000,Tone,151.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"Corydon, IN - Hardin County, IN RACES",,,,
4,KB9UKA,145.190000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"Ramsey, IN",,,,
5,KY4LAW,145.390000,-,0.600000,Tone,107.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"Lawrenceberg, KY",,,,
6,KK4CZ,145.410000,-,0.600000,TSQL,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Louisville - K.A.R.S. (kk4cz.org) - Echolink 23816,,,,
7,KB4KY,145.470000,-,0.600000,Tone,151.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"Bardstown, KY",,,,
8,,146.625000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
9,LOUSPLX,145.675000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Louisville Area Simplex,,,,
10,K4ULW,146.700000,-,0.600000,Tone,151.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"Payneville, KY",,,,
